Year,Month,Variable,101
1911,10,mintemp,14.3
1911,11,mintemp,3.6
1911,12,mintemp,4.1
1912,1,mintemp,-1.1
1912,2,mintemp,-0.4
1912,3,mintemp,5.1
1912,4,mintemp,11.8
1912,5,mintemp,15.2
1912,6,mintemp,18.2
1912,7,mintemp,20.5
1912,8,mintemp,20.1
1912,9,mintemp,19.1
1912,10,mintemp,12.3
1912,11,mintemp,1.5
1912,12,mintemp,3.4
1913,1,mintemp,5
1913,2,mintemp,2.3
1913,3,mintemp,6.7
1913,4,mintemp,9.4
1913,5,mintemp,14.1
1913,6,mintemp,17.7
1913,7,mintemp,21
1913,8,mintemp,19.7
1913,9,mintemp,16
1913,10,mintemp,8.5
1913,11,mintemp,4.5
1913,12,mintemp,3.3
1914,1,mintemp,2.4
1914,2,mintemp,1.7
1914,3,mintemp,3.3
1914,4,mintemp,10.5
1914,5,mintemp,14.5
1914,6,mintemp,20
1914,7,mintemp,19.4
1914,8,mintemp,19.9
1914,9,mintemp,16.8
1914,10,mintemp,11.6
1914,11,mintemp,3.1
1914,12,mintemp,2
1915,1,mintemp,0.5
1915,2,mintemp,3.4
1915,3,mintemp,1.1
1915,4,mintemp,9.9
1915,5,mintemp,17.3
1915,6,mintemp,19
1915,7,mintemp,20
1915,8,mintemp,20
1915,9,mintemp,17.6
1915,10,mintemp,12.9
1915,11,mintemp,5.8
1915,12,mintemp,1.3
1916,1,mintemp,5.6
1916,2,mintemp,0.8
1916,3,mintemp,5
1916,4,mintemp,9.3
1916,5,mintemp,15.3
1916,6,mintemp,18.7
1916,7,mintemp,21.1
1916,8,mintemp,20.3
1916,9,mintemp,16.1
1916,10,mintemp,9.7
1916,11,mintemp,4
1916,12,mintemp,2.2
1917,1,mintemp,5
1917,2,mintemp,2.4
1917,3,mintemp,6.4
1917,4,mintemp,9.9
1917,5,mintemp,10.6
1917,6,mintemp,17.9
1917,7,mintemp,20.3
1917,8,mintemp,19.6
1917,9,mintemp,16.6
1917,10,mintemp,6.2
1917,11,mintemp,2.7
1917,12,mintemp,-1.7
1918,1,mintemp,-2.6
1918,2,mintemp,4.8
1918,3,mintemp,9.7
1918,4,mintemp,9.8
1918,5,mintemp,15.1
1918,6,mintemp,19.4
1918,7,mintemp,18.5
1918,8,mintemp,20.1
1918,9,mintemp,14.4
1918,10,mintemp,14.8
1918,11,mintemp,4.8
1918,12,mintemp,5.1
1919,1,mintemp,-0.4
1919,2,mintemp,2.3
1919,3,mintemp,6
1919,4,mintemp,9.2
1919,5,mintemp,14.4
1919,6,mintemp,19.9
1919,7,mintemp,20.5
1919,8,mintemp,20.4
1919,9,mintemp,16.4
1919,10,mintemp,17.9
1919,11,mintemp,7.3
1919,12,mintemp,1.7
1920,1,mintemp,3
1920,2,mintemp,1.9
1920,3,mintemp,4.6
1920,4,mintemp,10.2
1920,5,mintemp,15.2
1920,6,mintemp,18.6
1920,7,mintemp,20.4
1920,8,mintemp,19.8
1920,9,mintemp,18.7
1920,10,mintemp,9.2
1920,11,mintemp,3.5
1920,12,mintemp,1.8
1921,1,mintemp,3.5
1921,2,mintemp,3.6
1921,3,mintemp,10.9
1921,4,mintemp,9.6
1921,5,mintemp,14
1921,6,mintemp,19.8
1921,7,mintemp,21.1
1921,8,mintemp,20.8
1921,9,mintemp,20.7
1921,10,mintemp,9.1
1921,11,mintemp,7.4
1921,12,mintemp,4
1922,1,mintemp,3.4
1922,2,mintemp,6.5
1922,3,mintemp,7.1
1922,4,mintemp,12.5
1922,5,mintemp,16.1
1922,6,mintemp,19.3
1922,7,mintemp,20.3
1922,8,mintemp,19.3
1922,9,mintemp,18
1922,10,mintemp,11.7
1922,11,mintemp,6.7
1922,12,mintemp,6.7
1923,1,mintemp,4
1923,2,mintemp,2.4
1923,3,mintemp,6.1
1923,4,mintemp,10.4
1923,5,mintemp,14.9
1923,6,mintemp,19.1
1923,7,mintemp,19.8
1923,8,mintemp,20.6
1923,9,mintemp,17.8
1923,10,mintemp,10.2
1923,11,mintemp,3.9
1923,12,mintemp,7.2
1924,1,mintemp,-2
1924,2,mintemp,1.8
1924,3,mintemp,4.1
1924,4,mintemp,9.8
1924,5,mintemp,12.4
1924,6,mintemp,19.7
1924,7,mintemp,19.5
1924,8,mintemp,20.6
1924,9,mintemp,16.4
1924,10,mintemp,8.9
1924,11,mintemp,4.7
1924,12,mintemp,2.9
1925,1,mintemp,2.7
1925,2,mintemp,4.6
1925,3,mintemp,6.3
1925,4,mintemp,11.9
1925,5,mintemp,13.1
1925,6,mintemp,19.7
1925,7,mintemp,20.7
1925,8,mintemp,19.6
1925,9,mintemp,20.2
1925,10,mintemp,11.3
1925,11,mintemp,5.3
1925,12,mintemp,0.5
1926,1,mintemp,1.9
1926,2,mintemp,4.1
1926,3,mintemp,3.2
1926,4,mintemp,8.4
1926,5,mintemp,13.3
1926,6,mintemp,18.5
1926,7,mintemp,19.2
1926,8,mintemp,21.2
1926,9,mintemp,20.1
1926,10,mintemp,11.7
1926,11,mintemp,3.4
1926,12,mintemp,3.9
1927,1,mintemp,2.9
1927,2,mintemp,8.3
1927,3,mintemp,7
1927,4,mintemp,12.6
1927,5,mintemp,15.1
1927,6,mintemp,19.5
1927,7,mintemp,20
1927,8,mintemp,19.8
1927,9,mintemp,17.4
1927,10,mintemp,11.3
1927,11,mintemp,8.5
1927,12,mintemp,2.1
1928,1,mintemp,0
1928,2,mintemp,2.1
1928,3,mintemp,6.3
1928,4,mintemp,8.6
1928,5,mintemp,13.2
1928,6,mintemp,18.5
1928,7,mintemp,21.2
1928,8,mintemp,20.9
1928,9,mintemp,15.9
1928,10,mintemp,12.7
1928,11,mintemp,4.9
1928,12,mintemp,0.8
1929,1,mintemp,2.6
1929,2,mintemp,1.5
1929,3,mintemp,8.2
1929,4,mintemp,12.3
1929,5,mintemp,15.3
1929,6,mintemp,18.1
1929,7,mintemp,19.7
1929,8,mintemp,19.3
1929,9,mintemp,17.7
1929,10,mintemp,9.8
1929,11,mintemp,7.5
1929,12,mintemp,-0.2
1930,1,mintemp,1.1
1930,2,mintemp,4.2
1930,3,mintemp,4.5
1930,4,mintemp,9.6
1930,5,mintemp,15.4
1930,6,mintemp,16.7
1930,7,mintemp,20.6
1930,8,mintemp,18.8
1930,9,mintemp,18.7
1930,10,mintemp,9.3
1930,11,mintemp,6.3
1930,12,mintemp,0.7
1931,1,mintemp,0.1
1931,2,mintemp,2.2
1931,3,mintemp,3.1
1931,4,mintemp,8.5
1931,5,mintemp,12.2
1931,6,mintemp,17.7
1931,7,mintemp,21
1931,8,mintemp,18.6
1931,9,mintemp,18.4
1931,10,mintemp,12.4
1931,11,mintemp,8
1931,12,mintemp,7.5
1932,1,mintemp,5.5
1932,2,mintemp,7.5
1932,3,mintemp,3.8
1932,4,mintemp,10.2
1932,5,mintemp,13.8
1932,6,mintemp,19
1932,7,mintemp,21.3
1932,8,mintemp,20.8
1932,9,mintemp,17.4
1932,10,mintemp,9.6
1932,11,mintemp,3.6
1932,12,mintemp,4.3
1933,1,mintemp,5.1
1933,2,mintemp,3.2
1933,3,mintemp,5.4
1933,4,mintemp,9.8
1933,5,mintemp,16.7
1933,6,mintemp,17.6
1933,7,mintemp,19.6
1933,8,mintemp,19.7
1933,9,mintemp,18.1
1933,10,mintemp,11.2
1933,11,mintemp,4.2
1933,12,mintemp,6.4
1934,1,mintemp,3.7
1934,2,mintemp,-1.9
1934,3,mintemp,4.6
1934,4,mintemp,10.1
1934,5,mintemp,15
1934,6,mintemp,20
1934,7,mintemp,21.5
1934,8,mintemp,21.3
1934,9,mintemp,16.3
1934,10,mintemp,11.2
1934,11,mintemp,5.9
1934,12,mintemp,1.6
1935,1,mintemp,2.8
1935,2,mintemp,2.2
1935,3,mintemp,8.8
1935,4,mintemp,11.2
1935,5,mintemp,15.3
1935,6,mintemp,17.5
1935,7,mintemp,20.6
1935,8,mintemp,21
1935,9,mintemp,16.5
1935,10,mintemp,10.7
1935,11,mintemp,6.7
1935,12,mintemp,-1.6
1936,1,mintemp,-0.4
1936,2,mintemp,0.6
1936,3,mintemp,7.4
1936,4,mintemp,9.3
1936,5,mintemp,15.2
1936,6,mintemp,18.9
1936,7,mintemp,21
1936,8,mintemp,20.5
1936,9,mintemp,18.8
1936,10,mintemp,12.3
1936,11,mintemp,4.4
1936,12,mintemp,4.4
1937,1,mintemp,10.4
1937,2,mintemp,2.8
1937,3,mintemp,4.3
1937,4,mintemp,8.9
1937,5,mintemp,15
1937,6,mintemp,19.9
1937,7,mintemp,19.6
1937,8,mintemp,20.9
1937,9,mintemp,16.2
1937,10,mintemp,10.5
1937,11,mintemp,3.9
1937,12,mintemp,1.7
1938,1,mintemp,2.4
1938,2,mintemp,5.7
1938,3,mintemp,9.7
1938,4,mintemp,10.4
1938,5,mintemp,15.5
1938,6,mintemp,18.4
1938,7,mintemp,20.5
1938,8,mintemp,20.9
1938,9,mintemp,16.3
1938,10,mintemp,9.7
1938,11,mintemp,5.6
1938,12,mintemp,1.6
1939,1,mintemp,2.6
1939,2,mintemp,4.7
1939,3,mintemp,7.1
1939,4,mintemp,9
1939,5,mintemp,14.5
1939,6,mintemp,20.1
1939,7,mintemp,20.2
1939,8,mintemp,19.5
1939,9,mintemp,17.8
1939,10,mintemp,10.5
1939,11,mintemp,3.4
1939,12,mintemp,2
1940,1,mintemp,-5.8
1940,2,mintemp,1.5
1940,3,mintemp,5.2
1940,4,mintemp,10.2
1940,5,mintemp,11.9
1940,6,mintemp,18.5
1940,7,mintemp,19.9
1940,8,mintemp,20.6
1940,9,mintemp,14.8
1940,10,mintemp,9.3
1940,11,mintemp,5.5
1940,12,mintemp,4.7
1941,1,mintemp,1.7
1941,2,mintemp,-0.2
1941,3,mintemp,2.8
1941,4,mintemp,11.2
1941,5,mintemp,14.7
1941,6,mintemp,19.4
1941,7,mintemp,21.4
1941,8,mintemp,20.8
1941,9,mintemp,18.5
1941,10,mintemp,14.9
1941,11,mintemp,4.2
1941,12,mintemp,3.2
1942,1,mintemp,-1
1942,2,mintemp,0.9
1942,3,mintemp,5.8
1942,4,mintemp,9.3
1942,5,mintemp,14.4
1942,6,mintemp,19.5
1942,7,mintemp,21
1942,8,mintemp,19.6
1942,9,mintemp,16.2
1942,10,mintemp,10.6
1942,11,mintemp,5.9
1942,12,mintemp,3
1943,1,mintemp,3
1943,2,mintemp,2.5
1943,3,mintemp,5.3
1943,4,mintemp,9.8
1943,5,mintemp,15.9
1943,6,mintemp,21
1943,7,mintemp,21.6
1943,8,mintemp,20.9
1943,9,mintemp,15.6
1943,10,mintemp,8.6
1943,11,mintemp,1.8
1943,12,mintemp,1.6
1944,1,mintemp,1.6
1944,2,mintemp,6.7
1944,3,mintemp,6.7
1944,4,mintemp,9.9
1944,5,mintemp,15.1
1944,6,mintemp,19.4
1944,7,mintemp,19.3
1944,8,mintemp,20.4
1944,9,mintemp,18.4
1944,10,mintemp,8.4
1944,11,mintemp,5.4
1944,12,mintemp,1
1945,1,mintemp,1.1
1945,2,mintemp,4.9
1945,3,mintemp,10.8
1945,4,mintemp,11.5
1945,5,mintemp,13.1
1945,6,mintemp,19
1945,7,mintemp,20.8
1945,8,mintemp,20.2
1945,9,mintemp,19
1945,10,mintemp,9.9
1945,11,mintemp,6.5
1945,12,mintemp,-0.7
1946,1,mintemp,3.1
1946,2,mintemp,2.2
1946,3,mintemp,9
1946,4,mintemp,11.5
1946,5,mintemp,14.8
1946,6,mintemp,18
1946,7,mintemp,20.8
1946,8,mintemp,18.9
1946,9,mintemp,16.8
1946,10,mintemp,10.1
1946,11,mintemp,9.6
1946,12,mintemp,2.9
1947,1,mintemp,4.7
1947,2,mintemp,-2.6
1947,3,mintemp,2.3
1947,4,mintemp,11.7
1947,5,mintemp,13.8
1947,6,mintemp,18.5
1947,7,mintemp,17.9
1947,8,mintemp,20.9
1947,9,mintemp,18.5
1947,10,mintemp,14.2
1947,11,mintemp,5.7
1947,12,mintemp,1.8
1948,1,mintemp,-2.1
1948,2,mintemp,5.1
1948,3,mintemp,8.7
1948,4,mintemp,12.5
1948,5,mintemp,14
1948,6,mintemp,18.8
1948,7,mintemp,20.6
1948,8,mintemp,19.6
1948,9,mintemp,15.9
1948,10,mintemp,6.9
1948,11,mintemp,6.4
1948,12,mintemp,3.6
1949,1,mintemp,5.8
1949,2,mintemp,4.9
1949,3,mintemp,4.9
1949,4,mintemp,9.6
1949,5,mintemp,14.8
1949,6,mintemp,19.2
1949,7,mintemp,21.5
1949,8,mintemp,20.3
1949,9,mintemp,15.9
1949,10,mintemp,15.1
1949,11,mintemp,2.4
1949,12,mintemp,2.5
1950,1,mintemp,10.1
1950,2,mintemp,4.6
1950,3,mintemp,4.4
1950,4,mintemp,7.3
1950,5,mintemp,16.7
1950,6,mintemp,18.5
1950,7,mintemp,19.3
1950,8,mintemp,17.4
1950,9,mintemp,16.6
1950,10,mintemp,11.8
1950,11,mintemp,1
1950,12,mintemp,-1
1951,1,mintemp,1.3
1951,2,mintemp,2.2
1951,3,mintemp,6.7
1951,4,mintemp,8.4
1951,5,mintemp,12.1
1951,6,mintemp,18.6
1951,7,mintemp,20.2
1951,8,mintemp,20.4
1951,9,mintemp,18
1951,10,mintemp,11.5
1951,11,mintemp,2.2
1951,12,mintemp,3
1952,1,mintemp,5.2
1952,2,mintemp,3.7
1952,3,mintemp,4.4
1952,4,mintemp,8
1952,5,mintemp,14
1952,6,mintemp,20.5
1952,7,mintemp,20.2
1952,8,mintemp,20
1952,9,mintemp,15.1
1952,10,mintemp,5.5
1952,11,mintemp,3.2
1952,12,mintemp,0.8
1953,1,mintemp,2.8
1953,2,mintemp,2.8
1953,3,mintemp,7.1
1953,4,mintemp,8
1953,5,mintemp,16.5
1953,6,mintemp,19.7
1953,7,mintemp,20.2
1953,8,mintemp,18.7
1953,9,mintemp,15.1
1953,10,mintemp,9.6
1953,11,mintemp,2.1
1953,12,mintemp,0.9
1954,1,mintemp,1.4
1954,2,mintemp,2.6
1954,3,mintemp,5.1
1954,4,mintemp,11.8
1954,5,mintemp,11.5
